63,66	31,82	12,71	6,31	3,08
9,92	6,92	4,30	2,92	1,89
5,84	4,54	3,18	2,35	1,64
4,60	3,75	2,78	2,13	1,53
4,03	3,36	2,57	2,02	1,48
2,71	3,14	2,45	1,94	1,44
3,50	3,00	2,36	1,90	1,42
3,36	2,90	2,31	1,86	1,40
3,25	2,82	2,26	1,83	1,38
3,17	2,76	2,23	1,81	1,37
3,11	2,72	2,20	1,80	1,36
3,06	2,68	2,18	1,78	1,36
3,01	2,65	2,16	1,77	1,35
2,98	2,62	2,14	1,76	1,34
2,95	2,60	2,13	1,75	1,34
2,92	2,58	2,12	1,75	1,34
2,90	2,57	2,11	1,74	1,33
2,88	2,55	2,10	1,73	1,33
2,86	2,54	2,09	1,73	1,33
2,84	2,53	2,09	1,72	1,32
2,83	2,52	2,08	1,72	1,32
2,82	2,51	2,07	1,72	1,32
2,81	2,50	2,07	1,71	1,32
2,80	2,49	2,06	1,71	1,32
2,79	2,48	2,06	1,71	1,32
2,78	2,48	2,06	1,71	1,32
2,77	2,47	2,05	1,70	1,30
2,76	2,47	2,05	1,70	1,30
2,76	2,46	2,04	1,70	1,30
2,75	2,46	2,04	1,70	1,30
2,70	2,42	2,02	1,68	1,30
2,66	2,39	2,00	1,67	1,30
2,62	2,36	1,98	1,66	1,29
2,58	2,33	1,96	1,65	1,28
